;Rank;Title;Description;Genre;Rating;Duration(min);Director;Actor;Gross($M);Votes;MetaScore
41;41;Terminator: Dark Fate;    Sarah Connor has returned from far away, and she's gearing up with a team of agents who will fight against T-1000.;Action;NA;NA;Tim Miller;Arnold Schwarzenegger;NA;NA;NA
42;42;Light of My Life;    Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.;Drama;6,6;119;Casey Affleck;Anna Pniowsky;NA;1394;67
43;43;Hellboy;    Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.;Action;5,2;120;Neil Marshall;David Harbour;21,9;45649;31
44;44;Dolor y gloria;    A film director reflects on the choices he's made in life as past and present come crashing down around him.;Drama;7,8;113;Pedro Almodóvar;Antonio Banderas;NA;8166;81
45;45;Otherhood;    A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.;Comedy;6,1;100;Cindy Chupack;Angela Bassett;NA;4948;37
46;46;Star Wars: The Rise of Skywalker;    The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.;Action;NA;NA;J.J. Abrams;Domhnall Gleeson;NA;NA;NA
47;47;A Hidden Life;    The Austrian Blessed Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.;Biography;7,1;173;Terrence Malick;August Diehl;NA;298;76
48;48;After;    A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.;Drama;5,4;105;Jenny Gage;Josephine Langford;12,14;16188;30
49;49;Captain Marvel;    Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.;Action;7;123;Anna Boden;Brie Larson;426,8;347634;64
50;50;Batla House;    An action thriller based on the 2008 police encounter in Delhi's Batla House.;Action;8;146;Nikkhil Advani;Nora Fatehi;NA;1945;NA
